candidate_id,query,source_url,pmid,geo_accession,organism,cell_or_tissue,stimulus,dose,timepoint,control,direct_tnf_only,table_type,reported_gene_rows,gene_col,lfc_col,pvalue_col,padj_col,pipeline,paper_id,source_family_id,local_path,checksum,eligibility_status,exclusion_or_defer_reason,notes
TNFA-C01,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270418,,GSE270418,Homo sapiens,primary human retinal endothelial cells,TNF-alpha among six cytokines,50 ng/mL reported in GEO summary hit,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE270418,GSE270418,,,deferred,full_deg_table_not_verified,"TNF-alpha vs untreated/control not yet resolved to a full as-published DEG table; multi-cytokine design requires source-table inspection before activation. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C02,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267930,,GSE267930,Homo sapiens,human endothelial cells,TNF-alpha inflammatory stress,not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE267930,GSE267930,,,deferred,full_deg_table_not_verified,"High-signal TNF-alpha RNA-seq series; supplementary DEG table availability and untreated-control contrast not verified in this execution window. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C03,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184512,,GSE184512,Homo sapiens,human endothelial cells,pro-inflammatory factors including TNF-alpha,not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE184512,GSE184512,,,deferred,full_deg_table_not_verified,"Likely mechanistic TNF/NF-kB endothelial RNA-seq; direct TNF-only untreated contrast and full DEG table not resolved. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C04,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176513,,GSE176513,Homo sapiens,hESC-derived retinal pigment epithelial cells,TNF-alpha plus TGF-beta1 co-stimulation,not resolved,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE176513,GSE176513,,,excluded,not_tnf_only_direct_contrast,"Excluded for current pass because perturbation is co-stimulation, not direct TNF-alpha only versus untreated/control. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence."
TNFA-C05,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70068,,GSE70068,Homo sapiens,human neutrophils,TNF-alpha and GM-CSF cytokine stimulation,not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE70068,GSE70068,,,deferred,full_deg_table_not_verified,"High-signal but older/small donor design; full as-published DEG table and TNF-only contrast not verified. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C06,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35724,,GSE35724,Homo sapiens,cultured adipocytes,"TNF-alpha, hypoxia, dexamethasone, insulin models",not resolved,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE35724,GSE35724,,,excluded,pre_2013_or_date_boundary,Published before 2013 boundary or not clearly 2013+; mixed model series retained as candidate but excluded from active gate. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence.
TNFA-C07,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157476,,GSE157476,Mus musculus,MEFs,TNF alpha stimulation 0/45/90 min,not resolved,45/90 min,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE157476,GSE157476,,,deferred,full_deg_table_not_verified,"Direct TNF/NF-kB biology; activation deferred because full/near-full DEG table and untreated-control output were not located. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C08,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247446,,GSE247446,Mus musculus,immortalized fibroblast clones,"NF-kB stimulation context, likely TNF",not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE247446,GSE247446,,,deferred,full_deg_table_not_verified,"Relevant NF-kB dynamics series; direct TNF-alpha bulk DEG table not verified. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C09,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228934,,GSE228934,Homo sapiens,stem-cell-derived retinal pigment epithelium,TNF-alpha/EMT inflammatory context,not resolved,not resolved,untreated/control not resolved,yes_unverified,not_verified_full_or_near_full_deg_table,unknown,,,,,unknown_pipeline,GSE228934,GSE228934,,,deferred,full_deg_table_not_verified,"TNF/NF-kB-related RPE series; direct TNF-only contrast and full DEG output unresolved. Iter11 rescue checked GEO series page, GEO supplementary-file surface, publisher/PMC/Europe PMC supplement surfaces where identifiable from the accession/title, and found no full/near-full as-published direct TNF-vs-control DEG table suitable for activation."
TNFA-C10,iter10_prior_direct_or_promising_tnfa_rescue,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224190,,GSE224190,Homo sapiens,human umbilical cord MSCs,inflammatory cytokine pretreatment including TNF context,not resolved,not resolved,not applicable,no,not_eligible_direct_tnf_table,unknown,,,,,unknown_pipeline,GSE224190,GSE224190,,,excluded,not_tnf_only_direct_contrast,Likely cytokine cocktail or pretreatment design; excluded until TNF-only untreated contrast can be proven. Iter11 rescue retained exclusion; not counted as direct TNF-only active evidence.
