method_id,method_family,public_summary_deg_status,can_run_from_current_public_files,current_pipeline_status,required_inputs,current_public_inputs_available,missing_or_nonfaithful_inputs,faithful_adapter_decision,manuscript_use,source_or_package,notes,corpus
degora_slice,DEGORA reference,native_public_summary_method,yes,run_ok,"study/source-unit, gene symbol, p-value or signed z, log2FC, optional sample sizes, optional quality metadata","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,native reference output; no external comparator adaptation needed,primary method,DEGORA repository implementation,ifn-pilot: public harmonized columns inspected=43.,ifn-pilot
weighted_stouffer,classical p-value/z method,summary_compatible,yes,run_ok,per-study signed z and sample-size weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy norm.sf,Uses DEGORA's conservative source-unit collapsed signed z values.,ifn-pilot
fisher,classical p-value method,summary_compatible,yes,run_ok,per-study p-values,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,runnable as transparent Tier 0 baseline,classical comparator,SciPy combine_pvalues,Uses two-sided p-values recovered from signed z to avoid one-sided inflation.,ifn-pilot
robustrankaggreg,rank aggregation,summary_compatible_official,yes,run_ok,within-study ranked gene lists,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,CRAN/RobustRankAggreg; version=1.2.1,Does not need raw expression; ranks are reconstructed from public DEG tables.,ifn-pilot
metavolcanor,p-value/effect meta-analysis,summary_compatible_official,yes,run_ok,"per-study gene, logFC, p-value tables","study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official R adapter emitted when package is installed,direct prior-art comparator,Bioconductor/MetaVolcanoR; version=1.16.0,Uses MetaVolcanoR p-combination mode only; effect-size variance modes are not claimed.,ifn-pilot
awfisher,adaptive weighted p-value method,summary_compatible_official,yes,run_ok,gene-by-study p-value matrix,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official AWFisher adapter emitted when package is installed,direct prior-art comparator,Bioconductor/AWFisher; version=1.16.0,Missing study-gene entries are set to p=1; AWFisher returns adaptive study-contribution weights.,ifn-pilot
metarnaseq_fisher,RNA-seq p-value combination,summary_compatible_official,yes,run_ok,per-study p-value vectors,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",,official metaRNASeq fishercomb adapter emitted when package is installed,direct prior-art comparator,R-universe/CRAN metaRNASeq; version=1.0.8,Uses two-sided p_from_signed_z because public summary tables do not provide uniform one-sided p-values.,ifn-pilot
metarnaseq_invnorm,RNA-seq inverse-normal p-value combination,summary_compatible_official,yes_with_weight_proxy,run_ok,per-study p-value vectors and replicate-count weights,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",true per-study one-sided p-values are absent; source-unit sample-size weights are used where available,official metaRNASeq invnorm adapter emitted with documented weight proxy,direct prior-art comparator with caveat,R-universe/CRAN metaRNASeq; version=1.0.8,"Missing study-gene entries are set to neutral p=0.5 to avoid treating absent public-summary evidence as infinite inverse-normal evidence; if the official function returns an all-p=1/no-statistic result, DEGORA marks the comparator blocked instead of emitting alphabetical ranks.",ifn-pilot
rank_product_approx,rank aggregation approximation,summary_compatible_approximation,yes_as_approximation,run_ok,within-study normalized ranks,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",official RankProd replicate/origin inputs are not present,"keep as explicit approximation, not official RankProd",sensitivity comparator,DEGORA repository implementation,Useful because public DEG files often retain ranks but not replicate-level expression.,ifn-pilot
rankprod_exact,official rank product,blocked_for_public_summary_only,no,blocked:rankprod_exact_requires_expression_or_origin_labels,replicate-level expression or rank-product inputs with class/origin labels,"study_id, gene_symbol, lfc, pvalue, padj, signed_z, normalized_rank, n_ctrl, n_treat, pipeline, source_path",raw expression/class labels/origin metadata; current R package also unavailable if RankProd preflight is missing,do not run from public DEG-only files,blocked comparator row,Bioconductor/RankProd; version=not installed,Prevents overclaiming that summary-rank approximation is the official package.,ifn-pilot
