candidate_id,paper_or_dataset,title,source_url,local_path,sha256,contrast_or_sheet,status,exclusion_category,pipeline,species,cell_type_or_tissue,perturbation,dose,duration,n_ctrl,n_treat,gene_count,gene_column,lfc_column,p_column,padj_column,notes
TNFA-C01,GSE270418,Unraveling the web of nAMD: cytokines in primary human retinal endothelial cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270418,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Homo sapiens,primary human retinal endothelial cells,TNF-alpha among six cytokines,50 ng/mL reported in GEO summary hit,not resolved,,,unknown,,,,,TNF-alpha vs untreated/control not yet resolved to a full as-published DEG table; multi-cytokine design requires source-table inspection before activation.
TNFA-C02,GSE267930,Inflammatory stress-mediated chromatin changes underlie dysfunction in endothelial cells [RNA-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267930,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Homo sapiens,human endothelial cells,TNF-alpha inflammatory stress,not resolved,not resolved,,,unknown,,,,,High-signal TNF-alpha RNA-seq series; supplementary DEG table availability and untreated-control contrast not verified in this execution window.
TNFA-C03,GSE184512,LncRNA ICR regulates endothelium inflammation through NF-kB signaling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184512,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Homo sapiens,human endothelial cells,pro-inflammatory factors including TNF-alpha,not resolved,not resolved,,,unknown,,,,,Likely mechanistic TNF/NF-kB endothelial RNA-seq; direct TNF-only untreated contrast and full DEG table not resolved.
TNFA-C04,GSE176513,Thermogelling polymer on disease-modeled retinal pigment epithelial cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176513,,,,excluded,not_tnf_only_direct_contrast,unknown_pipeline,Homo sapiens,hESC-derived retinal pigment epithelial cells,TNF-alpha plus TGF-beta1 co-stimulation,not resolved,not resolved,,,unknown,,,,,"Excluded for current pass because perturbation is co-stimulation, not direct TNF-alpha only versus untreated/control."
TNFA-C05,GSE70068,Human neutrophils with and without in vitro cytokine stimulation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70068,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Homo sapiens,human neutrophils,TNF-alpha and GM-CSF cytokine stimulation,not resolved,not resolved,2 donors,2 donors,unknown,,,,,High-signal but older/small donor design; full as-published DEG table and TNF-only contrast not verified.
TNFA-C06,GSE35724,Comprehensive analysis of in vitro insulin resistance models,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35724,,,,excluded,pre_2013_or_date_boundary,unknown_pipeline,Homo sapiens,cultured adipocytes,"TNF-alpha, hypoxia, dexamethasone, insulin models",not resolved,not resolved,,,unknown,,,,,Published before 2013 boundary or not clearly 2013+; mixed model series retained as candidate but excluded from active gate.
TNFA-C07,GSE157476,NAIL lncRNA coordinates p38 activation and NF-kB chromatin remodeling in inflammation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157476,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Mus musculus,MEFs,TNF alpha stimulation 0/45/90 min,not resolved,45/90 min,,,unknown,,,,,Direct TNF/NF-kB biology; activation deferred because full/near-full DEG table and untreated-control output were not located.
TNFA-C08,GSE247446,Small transcriptional differences among cell clones lead to distinct NF-kB dynamics,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247446,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Mus musculus,immortalized fibroblast clones,"NF-kB stimulation context, likely TNF",not resolved,not resolved,,,unknown,,,,,Relevant NF-kB dynamics series; direct TNF-alpha bulk DEG table not verified.
TNFA-C09,GSE228934,IKKβ inhibition attenuates EMT of human stem-cell derived RPE,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228934,,,,deferred,full_deg_table_not_verified,unknown_pipeline,Homo sapiens,stem-cell-derived retinal pigment epithelium,TNF-alpha/EMT inflammatory context,not resolved,not resolved,,,unknown,,,,,TNF/NF-kB-related RPE series; direct TNF-only contrast and full DEG output unresolved.
TNFA-C10,GSE224190,Inflammatory cytokines pre-treatment enhances hUC-MSC immunomodulatory property,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224190,,,,excluded,not_tnf_only_direct_contrast,unknown_pipeline,Homo sapiens,human umbilical cord MSCs,inflammatory cytokine pretreatment including TNF context,not resolved,not resolved,,,unknown,,,,,Likely cytokine cocktail or pretreatment design; excluded until TNF-only untreated contrast can be proven.
TNFA-C11,GSE205853,Type 1 diabetes risk genes mediate beta cell survival in response to cytokines,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205853,,,,excluded,not_tnf_only_direct_contrast,unknown_pipeline,Homo sapiens,pancreatic beta cells,IL-1b/IFNg/TNFa cytokine exposure,not resolved,not resolved,,,unknown,,,,,Excluded for current direct-perturbation gate because summary indicates proinflammatory cytokine mixture/functional screen rather than TNF-only DEG table.
