gse_id,title,taxon,entrytype,n_ftp_files,ftp_error,ftp_files,interesting_files,has_de_keyword,known_active_paper_id,queries
GSE71401,Tumor hypoxia causes DNA hypermethylation by reducing TET activity (RNA-Seq),Homo sapiens,GSE,2,,GSE71401_processed_read_counts_RNAseq.txt.gz;GSE71401_raw_read_counts_DMSO.txt.gz,GSE71401_processed_read_counts_RNAseq.txt.gz;GSE71401_raw_read_counts_DMSO.txt.gz,False,False,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE71403,Tumor hypoxia causes DNA hypermethylation by reducing TET activity,Mus musculus; Homo sapiens,GSE,2,,GSE71403_RAW.tar;filelist.txt,,False,False,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE95280,The hypoxic landscape of melanoma,Homo sapiens,GSE,11,,GSE95280_RAW.tar;GSE95280_edgeR_501_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_501_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_501_hypoxia_t48h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR37_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR39_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR39_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t48h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;filelist.txt,GSE95280_edgeR_501_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_501_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_501_hypoxia_t48h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR37_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR39_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_IGR39_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t12h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t24h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz;GSE95280_edgeR_shHIF1a_hypoxia_t48h_relative_to_t0_QLF-test_filtered_1cpm_3rep.txt.gz,True,False,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE101526,PolyA RNA-seq from HCT116 (WT and CDK8as/as) cells in normoxia or hypoxia and treated with DMSO or 3MB-PP1,Homo sapiens,GSE,3,,GSE101526_HTSeq_in_counts.txt.gz;GSE101526_RAW.tar;filelist.txt,GSE101526_HTSeq_in_counts.txt.gz,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE104193,Hypoxia-mediated translational activation of ITGB3 in breast cancer cells enhances TGF-β signalling and malignant features in vitro and in vivo ,Homo sapiens,GSE,2,,GSE104193_COUNTS_POLYSOME_01_new_pipeline.txt.gz;GSE104193_COUNTS_POLYSOME_02_new_pipeline.txt.gz,GSE104193_COUNTS_POLYSOME_01_new_pipeline.txt.gz;GSE104193_COUNTS_POLYSOME_02_new_pipeline.txt.gz,False,False,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE124655,FOXA1 upregulation promotes enhancer and transcriptional reprogramming in endocrine-resistant breast cancer [RNA-seq],Homo sapiens,GSE,2,,GSE124655_Cuffdiff_TamR_siNS_siEPAS1-2.txt.gz;GSE124655_Cuffdiff_TamR_siNS_siEPAS1-3.txt.gz,GSE124655_Cuffdiff_TamR_siNS_siEPAS1-2.txt.gz;GSE124655_Cuffdiff_TamR_siNS_siEPAS1-3.txt.gz,True,False,"""hypoxia"" ""Cuffdiff"" ""GSE"" ""Homo sapiens"""
GSE132624,MITF controls the TCA cycle to modulate the melanoma hypoxia response,Homo sapiens,GSE,9,,GSE132624_edgeR_501mel_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_501mel_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_501mel_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,GSE132624_edgeR_501mel_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_501mel_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_501mel_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR37_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_24h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz;GSE132624_edgeR_IGR39_DMEM_1_O2_48h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,True,True,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE137619,The choroid plexus in progressive multiple sclerosis presents hypoxia and secretory changes that may be related to neuroprotection,Homo sapiens,GSE,2,,GSE137619_RAW.tar;filelist.txt,,False,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
GSE139989,Nuclear Parkin Regulates Transcriptional Response during Hypoxia,Homo sapiens,GSE,1,,GSE139989_Processed_count_file_for_all_samples.csv.gz,GSE139989_Processed_count_file_for_all_samples.csv.gz,False,False,"""hypoxia"" ""edgeR"" ""GSE"" ""Homo sapiens"""
GSE156218,Analyzing The Effects of ProL1 Upregulation On LNCaP Global Gene Expression,Homo sapiens,GSE,3,,GSE156218_DESeq2_normalized_count_matrix.txt.gz;GSE156218_DESeq2_regularized_log_transformed1.txt.gz;GSE156218_DESeq2_results_LNCaP_proL1_vs_wt.csv.gz,GSE156218_DESeq2_normalized_count_matrix.txt.gz;GSE156218_DESeq2_regularized_log_transformed1.txt.gz;GSE156218_DESeq2_results_LNCaP_proL1_vs_wt.csv.gz,True,False,"""hypoxia"" ""DESeq2"" ""GSE"" ""Homo sapiens"""
